app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
Yes,BS ARCHITECTURE,1st Degree,UP MINDANAO,No,yes,,,,,crc
No,,,,,,,,,,crc
DPWAS,,,,,,,,,UP VISAYAS,crc
No,,,,,,,,,,crc
DPWAS,,,,,,,,,UP VISAYAS,crc
DPWAS,,,,,,,,,UP ILOILO,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
Waitlisted,,,,,,,BS APPLIED MATHEMATICS,UP MINDANAO,UP MINDANAO,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
Waitlisted,,,,,,,BS BIOLOGY,UP CEBU,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
Yes,BS AGRICULTURAL BIOTECHNOLOGY,4th Degree,UP LOS BANOS,No,no,DE LA SALLE UNIVERSITY,,,,crc
Yes,BS AGRICULTURAL BIOTECHNOLOGY,4th Degree,UP LOS BANOS,No,not sure,ATENEO DE MANILA UNIVERSITY,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
DPWAS,,,,,,,,,UP VISAYAS,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
DPWAS,,,,,,,,,UP ILOILO,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
Yes,BS STATISTICS,3rd Degree,UP VISAYAS,No,no,,,,,crc
No,,,,,,,,,,crc
DPWAS,,,,,,,,,UP ILOILO,crc
No,,,,,,,,,,crc
Yes,BS STATISTICS,5th Degree,UP VISAYAS,No,no,DE LA SALLE UNIVERSITY,,,,crc
DPWAS,,,,,,,,,UP VISAYAS,crc
No,,,,,,,,,,crc
Yes,BS ECONOMICS,1st Degree,UP VISAYAS,No,yes,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,crc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
Yes,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,4th Degree,UP LOS BANOS,No,not sure,PHILIPPINE STATE COLLEGE OF AERONAUTICS,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,3rd Degree,UP LOS BANOS,Yes,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
Waitlisted,,,,,,,BS BIOCHEMISTRY,UP MANILA,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS APPLIED PHYSICS,1st Degree,UP DILIMAN,Yes,yes,,,,,cbzrc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS NUTRITION,3rd Degree,UP LOS BANOS,No,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS MATHEMATICS AND SCIENCE TEACHING,3rd Degree,UP LOS BANOS,No,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
DPWAS,,,,,,,,,UP LOS BANOS,cbzrc
DPWAS,,,,,,,,,UP DILIMAN,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS COMPUTER ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS PHYSICS,1st Degree,UP DILIMAN,Yes,yes,,,,,cbzrc
Yes,BS COMPUTER ENGINEERING,2nd Degree,UP DILIMAN,Yes,not sure,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,no,ATENEO DE MANILA UNIVERSITY,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS VETERINARY MEDICINE,1st Degree,UP LOS BANOS,Yes,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS MECHANICAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,no,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,cbzrc
Yes,BS MECHANICAL ENGINEERING,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS CHEMICAL ENGINEERING,2nd Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,cbzrc
No,,,,,,,,,,clc
Yes,BS GEOLOGY,2nd Degree,UP DILIMAN,Yes,yes,,,,,clc
No,,,,,,,,,,clc
Yes,BS BIOCHEMISTRY,1st Degree,UP MANILA,Yes,not sure,,,,,clc
DPWAS,,,,,,,,,UP DILIMAN,clc
Yes,BS CHEMISTRY,2nd Degree,UP LOS BANOS,No,yes,,,,,clc
No,,,,,,,,,,clc
Yes,BS AGRIBUSINESS MANAGEMENT AND ENTREPRENEURSHIP,1st Degree,UP LOS BANOS,No,yes,,,,,clc
No,,,,,,,,,,clc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
Yes,BS CHEMISTRY,2nd Degree,UP DILIMAN,Yes,yes,,,,,clc
DPWAS,,,,,,,,,UP MANILA,clc
Yes,BS INDUSTRIAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
DPWAS,,,,,,,,,UP DILIMAN,clc
Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,clc
Yes,BS PHYSICS,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,clc
Yes,BS OCCUPATIONAL THERAPY,1st Degree,UP MANILA,Yes,no,DE LA SALLE UNIVERSITY,,,,clc
No,,,,,,,,,,clc
Yes,BS BIOCHEMISTRY,1st Degree,UP MANILA,Yes,no,University of Santo Tomas,,,,clc
Yes,BS BIOLOGY,1st Degree,UP BAGUIO,No,yes,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
DPWAS,,,,,,,,,UP MANILA,clc
DPWAS,,,,,,,,,UP MANILA,clc
Yes,BS ELECTRICAL ENGINEERING,1st Degree,UP LOS BANOS,No,yes,,,,,clc
Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
Yes,BS APPLIED PHYSICS,1st Degree,UP DILIMAN,Yes,not sure,,,,,clc
No,,,,,,,,,,clc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,,,,,clc
Yes,BS MECHANICAL ENGINEERING,3rd Degree,UP DILIMAN,Yes,yes,,,,,clc
DPWAS,,,,,,,,,UP LOS BANOS,clc
DPWAS,,,,,,,,,UP DILIMAN,clc
No,,,,,,,,,,clc
Yes,BS PHARMACEUTICAL SCIENCES,1st Degree,UP MANILA,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,clc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,clc
No,,,,,,,,,,clc
Yes,BS COMPUTER SCIENCE,2nd Degree,UP BAGUIO,No,no,AUF (Angeles University Foundation),,,,clc
No,,,,,,,,,,clc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,not sure,,,,,clc
No,,,,,,,,,,clc
Yes,BS GEOGRAPHY,3rd Degree,UP DILIMAN,Yes,yes,,,,,clc
Yes,BS COMPUTER SCIENCE,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
Yes,BS CHEMISTRY,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
No,,,,,,,,,,clc
No,,,,,,,,,,clc
DPWAS,,,,,,,,,UP MANILA,clc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,clc
DPWAS,,,,,,,,,UP DILIMAN,clc
DPWAS,,,,,,,,,UP MANILA,clc
No,,,,,,,,,,clc
Yes,BS MATHEMATICS,3rd Degree,UP DILIMAN,Yes,not sure,,,,,clc
Yes,BS COMPUTER SCIENCE,1st Degree,UP BAGUIO,No,yes,,,,,clc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,DE LA SALLE UNIVERSITY,,,,clc
No,,,,,,,,,,clc
DPWAS,,,,,,,,,UP MANILA,clc
Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,yes,,,,,clc
Yes,BS APPLIED PHYSICS,1st Degree,UP MANILA,Yes,no,DE LA SALLE UNIVERSITY,,,,clc
No,,,,,,,,,,clc
DPWAS,,,,,,,,,UP LOS BANOS,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
DPWAS,,,,,,,,,UP MANILA,cvc
Yes,BS APPLIED PHYSICS,3rd Degree,UP DILIMAN,Yes,yes,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS STATISTICS,1st Degree,UP LOS BANOS,Yes,no,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS PHYSICS,3rd Degree,UP DILIMAN,Yes,yes,,,,,cvc
No,,,,,,,,,,cvc
DPWAS,,,,,,,,,UP LOS BANOS,cvc
No,,,,,,,,,,cvc
DPWAS,,,,,,,,,UP LOS BANOS,cvc
No,,,,,,,,,,cvc
Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,yes,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Waitlisted,,,,,,,BS SPEECH PATHOLOGY,UP MANILA,UP MANILA,cvc
Yes,BS COMPUTER SCIENCE,5th Degree,UP LOS BANOS,No,yes,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS AGRICULTURAL BIOTECHNOLOGY,3rd Degree,UP LOS BANOS,No,not sure,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Waitlisted,,,,,,,BS SPEECH PATHOLOGY,UP MANILA,UP MANILA,cvc
Yes,BS APPLIED PHYSICS,2nd Degree,UP LOS BANOS,No,not sure,,,,,cvc
DPWAS,,,,,,,,,UP LOS BANOS,cvc
No,,,,,,,,,,cvc
DPWAS,,,,,,,,,UP MANILA,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS APPLIED PHYSICS,1st Degree,UP LOS BANOS,No,not sure,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS NUTRITION,2nd Degree,UP LOS BANOS,No,not sure,University of Santo Tomas (UST),,,,cvc
No,,,,,,,,,,cvc
Yes,BS METALLURGICAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,cvc
No,,,,,,,,,,cvc
Waitlisted,,,,,,,BS SPEECH PATHOLOGY,UP MANILA,UP MANILA,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS FOOD TECHNOLOGY,3rd Degree,UP LOS BANOS,No,not sure,,,,,cvc
DPWAS,,,,,,,,,UP MANILA,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS VETERINARY MEDICINE,,UP LOS BANOS,No,not sure,IDK,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,cvc
Yes,BS MATERIALS ENGINEERING,3rd Degree,UP DILIMAN,Yes,not sure,NOT SURE,,,,cvc
No,,,,,,,,,,cvc
Yes,BS FAMILY LIFE AND CHILD DEVELOPMENT,3rd Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
No,,,,,,,,,,cvc
Yes,BS ELECTRICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
Yes,BS FISHERIES,5th Degree,UP VISAYAS,No,no,ATENEO DE MANILA UNIVERSITY,,,,evc
DPWAS,,,,,,,,,UP ILOILO,evc
Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,evc
Yes,BS BIOLOGY,1st Degree,UP VISAYAS,No,yes,,,,,evc
Yes,BS PHYSICS,2nd Degree,UP DILIMAN,Yes,no,--,,,,evc
DPWAS,,,,,,,,,UP DILIMAN,evc
Yes,BS GEODETIC ENGINEERING,3rd Degree,UP DILIMAN,Yes,yes,,,,,evc
No,,,,,,,,,,evc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,evc
Yes,BS BIOLOGY,2nd Degree,UP VISAYAS,No,no,ATENEO DE MANILA UNIVERSITY,,,,evc
Yes,BS CLOTHING TECHNOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
No,,,,,,,,,,evc
Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,yes,,,,,evc
DPWAS,,,,,,,,,UP DILIMAN,evc
Yes,BS BIOLOGY,1st Degree,UP VISAYAS,No,no,Visayas State University,,,,evc
Yes,BS INDUSTRIAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,,,,,evc
DPWAS,,,,,,,,,UP LOS BANOS,evc
Waitlisted,,,,,,,BS BIOLOGY,UP VISAYAS,,evc
No,,,,,,,,,,evc
Waitlisted,,,,,,,BS PUBLIC HEALTH,UP MANILA,,evc
No,,,,,,,,,,evc
Yes,BS CHEMISTRY,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,evc
DPWAS,,,,,,,,,UP DILIMAN,evc
Yes,BS COMPUTER SCIENCE,1st Degree,UP VISAYAS,No,no,DE LA SALLE UNIVERSITY,,,,evc
Yes,BS PSYCHOLOGY,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,evc
DPWAS,,,,,,,,,UP DILIMAN,evc
DPWAS,,,,,,,,,UP DILIMAN,evc
Yes,BS MECHANICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
No,,,,,,,,,,evc
Yes,BS OCCUPATIONAL THERAPY,3rd Degree,UP MANILA,Yes,no,,,,,evc
Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,yes,,,,,evc
Yes,BS PHARMACEUTICAL SCIENCES,2nd Degree,UP MANILA,Yes,yes,,,,,evc
Yes,BS AGRICULTURAL CHEMISTRY,2nd Degree,UP LOS BANOS,No,no,ATENEO DE MANILA UNIVERSITY,,,,evc
Yes,BS COMPUTER SCIENCE,2nd Degree,UP VISAYAS,No,no,DE LA SALLE UNIVERSITY,,,,evc
Yes,BS METALLURGICAL ENGINEERING,4th Degree,UP DILIMAN,Yes,yes,,,,,evc
Yes,BS BIOLOGY,1st Degree,UP VISAYAS,No,not sure,,,,,evc
No,,,,,,,,,,evc
Yes,BS COMPUTER ENGINEERING,4th Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,evc
No,,,,,,,,,,evc
Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
DPWAS,,,,,,,,,UP DILIMAN,evc
Yes,BS BIOLOGY,1st Degree,UP VISAYAS,No,not sure,DE LA SALLE UNIVERSITY,,,,evc
Yes,BS FOOD TECHNOLOGY,2nd Degree,UP VISAYAS,No,yes,,,,,evc
Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,DE LA SALLE UNIVERSITY,,,,evc
Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
DPWAS,,,,,,,,,UP MANILA,evc
Yes,BS BIOLOGY,4th Degree,UP MANILA,Yes,no,,,,,evc
Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
DPWAS,,,,,,,,,UP DILIMAN,evc
Yes,BS BIOLOGY,5th Degree,UP VISAYAS,No,not sure,,,,,evc
Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
No,,,,,,,,,,evc
No,,,,,,,,,,carc
DPWAS,,,,,,,,,UP BAGUIO,carc
No,,,,,,,,,,carc
